timestamp_ns,pid,comm,cpu,delay_us,event
10498844235578,6201,language_server,6,2,switch
10499388942642,5113,Chrome_IOThread,7,4,switch
10499476427939,635529,bash,7,2,switch
15:53:22
10499735334343,628355,bash,7,3,switch
10500144077367,6206,language_server,3,8,switch
10500410320863,635913,iperf3,7,2,switch
10500442358717,635913,iperf3,7,1,switch
10500476182769,635913,iperf3,7,2,switch
15:53:23
10500793543651,6201,language_server,7,4,switch
10501005000946,48,ksoftirqd/5,5,3,switch
10501183660985,635914,iperf3,2,2,switch
10501271835086,635914,iperf3,3,4,switch
10501383368642,635914,iperf3,3,3,switch
10501449343546,635914,iperf3,2,2,switch
10501549979357,6201,language_server,0,2,switch
15:53:24
10501634938028,635914,iperf3,2,2,switch
10501703165017,635473,z_wr_int_0,3,1,switch
10501764959404,30,ksoftirqd/2,2,4,switch
10501919702033,54,ksoftirqd/6,6,4,switch
10502026622491,635914,iperf3,2,2,switch
10502144059984,635914,iperf3,3,3,switch
10502280706466,635914,iperf3,2,2,switch
10502462986872,635914,iperf3,7,4,switch
15:53:25
10502616328389,635914,iperf3,7,2,switch
10502853445769,635914,iperf3,7,3,switch
10503006811341,635914,iperf3,2,2,switch
10503271146406,635914,iperf3,6,3,switch
10503402983181,635913,iperf3,1,1,switch
10503508048556,54,ksoftirqd/6,6,27,switch
15:53:26
10503675616443,635914,iperf3,2,2,switch
10503767289931,3960,tracker-miner-f,2,109,switch
10503935572015,635914,iperf3,7,2,switch
10504039027583,635914,iperf3,1,5,switch
10504205289805,232999,kworker/0:0,0,6,switch
10504443124366,6206,language_server,1,4,switch
15:53:27
10504697779666,635914,iperf3,0,1354,switch
10504932749638,635914,iperf3,4,2,switch
10505262577305,635914,iperf3,2,2,switch
10505484817809,635914,iperf3,3,2,switch
15:53:28
10505753541850,5236,antigravity,7,2,switch
10505914358884,14,ksoftirqd/0,0,69,switch
10506066198916,635914,iperf3,1,4,switch
10506178844489,635914,iperf3,1,4,switch
10506306793276,635914,iperf3,1,4,switch
10506398061226,635913,iperf3,2,1,switch
10506428343306,635913,iperf3,4,2,switch
10506473407817,5113,Chrome_IOThread,4,3,switch
15:53:29
10506651813577,635914,iperf3,1,4,switch
10506800145181,42,ksoftirqd/4,4,5,switch
10506999404933,635914,iperf3,5,4,switch
10507208486849,635914,iperf3,1,3,switch
10507485046489,24,ksoftirqd/1,1,6,switch
15:53:30
10507760880828,6210,language_server,5,3,switch
10508176874686,30,ksoftirqd/2,2,6,switch
10508306541868,635914,iperf3,2,3,switch
10508350234840,635914,iperf3,5,1,switch
10508383491951,48,ksoftirqd/5,5,4,switch
10508402384324,24,ksoftirqd/1,1,5,switch
10508419134990,635913,iperf3,2,1,switch
10508445443853,635914,iperf3,2,3,switch
10508495787745,635914,iperf3,2,3,switch
10508536891200,635914,iperf3,2,3,switch
15:53:31
10508567125330,635914,iperf3,0,1,switch
10508596331714,635914,iperf3,0,2,switch
10508622568162,635914,iperf3,4,0,switch
10508643617779,635914,iperf3,4,0,switch
10508664728353,635914,iperf3,1,0,switch
10508742919230,6203,language_server,2,3,switch
10508945018154,3909,gmain,0,5,switch
10509125693268,635914,iperf3,1,4,switch
10509274547331,635914,iperf3,1,4,switch
10509386832681,14,ksoftirqd/0,0,127,switch
10509524220144,637077,iperf3,1,4,switch
15:53:32
10509675026468,1293,irq/165-rtw88_p,0,4,switch
10509862101332,637077,iperf3,1,2,switch
10510040028125,35,migration/3,3,13,switch
10510143475007,6203,language_server,3,3,switch
10510250741388,637077,iperf3,5,2,switch
10510377764610,637111,bash,5,3,switch
10510554122106,6203,language_server,3,3,switch
15:53:33
10510787034321,29,migration/2,2,18,switch
10510994095454,6201,language_server,3,2,switch
10511221663197,637077,iperf3,2,3,switch
10511321362164,637077,iperf3,2,4,switch
10511440850563,3960,tracker-miner-f,5,307,switch
15:53:34
10511560433750,637077,iperf3,2,4,switch
10511747428262,637077,iperf3,1,4,switch
10511934952032,392,z_wr_int_0,2,8,switch
10512142706883,637077,iperf3,1,6,switch
10512398336682,635506,iperf3,3,1,switch
15:53:35
10512567310645,5236,antigravity,4,4,switch
10512722801232,637077,iperf3,4,2,switch
10512910324709,637077,iperf3,1,4,switch
10513040847295,637077,iperf3,1,8,switch
10513162875001,637077,iperf3,1,4,switch
10513285246424,5390,antigravity,0,3,switch
10513404549829,637076,iperf3,1,1,switch
10513428728881,637076,iperf3,4,2,switch
10513458500035,637077,iperf3,2,16,switch
10513487715709,637076,iperf3,4,2,switch
10513516763288,637077,iperf3,5,4,switch
10513547839069,637076,iperf3,2,1,switch
15:53:36
10513647910200,637436,bash,4,7,switch
10513868644445,637077,iperf3,4,2,switch
10514222192976,637077,iperf3,5,4,switch
10514398099398,635506,iperf3,3,1,switch
10514536918851,637077,iperf3,5,4,switch
15:53:37
10514683605988,637493,bash,0,32,switch
10514765491490,637077,iperf3,4,2,switch
10515043496873,14,ksoftirqd/0,0,8,switch
10515256842896,637077,iperf3,4,2,switch
10515423762744,637076,iperf3,3,1,switch
10515453405631,637076,iperf3,3,1,switch
10515482460841,637076,iperf3,3,1,switch
15:53:38
10515677651094,637077,iperf3,2,17,switch
10515957122491,637077,iperf3,3,2,switch
10516240368730,637077,iperf3,3,2,switch
15:53:39
10516576056788,60,ksoftirqd/7,7,16,switch
10516824263878,3960,tracker-miner-f,3,107,switch
10516988199538,637077,iperf3,5,2,switch
10517131318122,637077,iperf3,4,4,switch
10517290595770,637077,iperf3,1,2,switch
10517386052713,637077,iperf3,1,2,switch
10517475615244,637077,iperf3,3,14,switch
15:53:40
10517610952116,3960,tracker-miner-f,0,4,switch
10517763683479,637077,iperf3,1,2,switch
10517959863398,637077,iperf3,1,2,switch
10518070241597,637077,iperf3,3,15,switch
10518229011115,5337,antigravity,0,11,switch
10518401278183,637076,iperf3,5,0,switch
15:53:41
10518583964219,1293,irq/165-rtw88_p,0,7,switch
10518713152644,637077,iperf3,5,2,switch
10518771099651,637077,iperf3,5,12,switch
10518968027077,15,rcu_preempt,1,3,switch
10519146334648,1293,irq/165-rtw88_p,0,4,switch
10519300277956,637077,iperf3,2,15,switch
10519416491157,637076,iperf3,5,0,switch
15:53:42
10519561510095,637077,iperf3,2,15,switch
10519739490503,637077,iperf3,1,2,switch
10519920158698,637077,iperf3,1,2,switch
10520138494712,637077,iperf3,1,2,switch
10520293317576,5390,antigravity,3,2,switch
10520382599179,637077,iperf3,5,2,switch
10520460842577,637077,iperf3,1,2,switch
15:53:43
10520661405257,637077,iperf3,5,2,switch
10520850370911,637077,iperf3,7,2,switch
10520946032840,14,ksoftirqd/0,0,12,switch
10521088704173,638059,bash,7,3,switch
10521295796499,24,ksoftirqd/1,1,20,switch
10521405511418,637076,iperf3,7,0,switch
10521438375791,637076,iperf3,7,2,switch
10521462460232,637076,iperf3,6,1,switch
10521486135419,637076,iperf3,6,1,switch
15:53:44
10521578552313,637077,iperf3,7,2,switch
10521893926330,6206,language_server,1,2,switch
10522038205800,36,ksoftirqd/3,3,4,switch
10522056784466,42,ksoftirqd/4,4,8,switch
10522075045097,42,ksoftirqd/4,4,2,switch
10522144216863,6206,language_server,7,3,switch
10522201528718,637077,iperf3,4,2,switch
10522411126634,637076,iperf3,3,1,switch
10522438525657,637076,iperf3,3,1,switch
15:53:45
10522613632196,3140,dbus-daemon,4,3,switch
10522704911619,637077,iperf3,4,3,switch
10522847789539,637077,iperf3,4,2,switch
10522953604243,637077,iperf3,4,2,switch
10523240894728,637077,iperf3,2,3,switch
10523317732868,637077,iperf3,3,2,switch
10523396261314,637077,iperf3,3,2,switch
10523510541832,637077,iperf3,3,2,switch
15:53:46
10523661917612,637077,iperf3,2,18,switch
10523873294999,637077,iperf3,4,2,switch
10524024044266,14,ksoftirqd/0,0,26,switch
10524317589183,635526,bash,1,3,switch
10524409710334,637076,iperf3,4,0,switch
10524531765685,637077,iperf3,4,2,switch
15:53:47
10524639056407,637077,iperf3,7,5,switch
10524911092720,6201,language_server,7,3,switch
10525351197752,636298,z_wr_iss,0,14,switch
10525427092288,42,ksoftirqd/4,4,9,switch
15:53:48
10525572756179,637077,iperf3,5,2,switch
10525660990046,637077,iperf3,3,5,switch
10525752130304,637077,iperf3,1,2,switch
10525846422260,637077,iperf3,1,2,switch
