@runq_delay_us: 
[0]                   13 |                                                    |
[1]                  318 |@@@@@@@@@@@@@@                                      |
[2, 4)              1103 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)               337 |@@@@@@@@@@@@@@@                                     |
[8, 16)               73 |@@@                                                 |
[16, 32)              54 |@@                                                  |
[32, 64)             104 |@@@@                                                |
[64, 128)              7 |                                                    |
[128, 256)             3 |                                                    |
[256, 512)             1 |                                                    |
[512, 1K)              0 |                                                    |
[1K, 2K)               1 |                                                    |
[2K, 4K)               2 |                                                    |
[4K, 8K)               0 |                                                    |
[8K, 16K)              0 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 3912
@runq_delay_us: 
[0]                   30 |                                                    |
[1]                  678 |@@@@@@@                                             |
[2, 4)              4723 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)               896 |@@@@@@@@@                                           |
[8, 16)              236 |@@                                                  |
[16, 32)             203 |@@                                                  |
[32, 64)             205 |@@                                                  |
[64, 128)             26 |                                                    |
[128, 256)            11 |                                                    |
[256, 512)             4 |                                                    |
[512, 1K)              4 |                                                    |
[1K, 2K)               4 |                                                    |
[2K, 4K)               3 |                                                    |
[4K, 8K)               0 |                                                    |
[8K, 16K)              0 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 13762
@runq_delay_us: 
[0]                   94 |                                                    |
[1]                 1967 |@@@@@@@@@@@@@                                       |
[2, 4)              7334 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              1340 |@@@@@@@@@                                           |
[8, 16)              396 |@@                                                  |
[16, 32)             350 |@@                                                  |
[32, 64)             279 |@                                                   |
[64, 128)             41 |                                                    |
[128, 256)            18 |                                                    |
[256, 512)             7 |                                                    |
[512, 1K)              9 |                                                    |
[1K, 2K)              14 |                                                    |
[2K, 4K)               9 |                                                    |
[4K, 8K)               1 |                                                    |
[8K, 16K)              1 |                                                    |
[16K, 32K)             3 |                                                    |

@ctx_switches: 23224
@runq_delay_us: 
[0]                  143 |                                                    |
[1]                 4001 |@@@@@@@@@@@@@@@@@@                                  |
[2, 4)             11276 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              1843 |@@@@@@@@                                            |
[8, 16)              523 |@@                                                  |
[16, 32)             471 |@@                                                  |
[32, 64)             349 |@                                                   |
[64, 128)             71 |                                                    |
[128, 256)            29 |                                                    |
