timestamp,retrans_segs,in_segs,out_segs
1772853378.822601001,214,197798,160682
1772853379.836040200,214,197812,160696
1772853380.859293153,214,197827,160711
1772853381.876342653,214,197849,160733
1772853382.890122181,214,197868,160752
1772853383.901556735,214,197880,160764
1772853384.912739922,214,197908,160792
1772853385.933322115,214,197923,160807
1772853386.946158163,214,197939,160823
1772853387.973385408,214,197953,160837
1772853388.989777903,214,197968,160852
1772853390.008143827,214,197982,160866
1772853391.023629328,214,197996,160880
1772853392.061801517,214,198010,160894
1772853393.090815975,214,198024,160908
1772853394.114532879,214,198038,160922
1772853395.130086733,214,198052,160936
1772853396.157330990,214,198066,160950
1772853397.181002806,214,198080,160964
1772853398.207405271,214,198096,160980
1772853399.233678288,214,198110,160994
1772853400.264286424,214,198126,161010
1772853401.288745992,214,198144,161028
1772853402.311117611,214,198162,161046
1772853403.329769962,214,198177,161061
1772853404.354182286,214,198198,161082
1772853405.392304011,214,198215,161099
1772853406.412174388,214,198229,161113
1772853407.442395064,214,198243,161127
1772853408.467249273,214,198271,161155
1772853409.497877535,214,198285,161169
1772853410.541455728,214,198303,161187
1772853411.567018458,214,198323,161207
1772853412.595086212,214,198347,161229
1772853413.627808746,214,198366,161247
1772853414.662543178,214,198410,161291
1772853415.685352329,214,198424,161305
1772853416.705926166,214,198438,161319
1772853417.732992323,214,198452,161333
1772853418.758191357,214,198472,161353
1772853419.777779228,214,198486,161367
1772853420.796472146,214,198500,161381
1772853421.822897065,214,198514,161395
1772853422.852733234,214,198528,161409
1772853423.877313718,214,198542,161423
1772853424.908776095,214,198556,161437
1772853425.939787601,214,198570,161451
1772853426.969917993,214,198584,161465
1772853427.999718624,214,198598,161479
1772853429.019210420,214,198645,161530
1772853430.049559156,214,198960,162007
1772853431.077553863,214,199062,162121
1772853432.107685459,214,199076,162135
1772853433.137023152,214,199086,162145
1772853434.157914462,214,199111,162168
1772853435.194770495,214,199163,162217
1772853436.228324991,214,199181,162235
1772853437.250775197,214,199195,162249
1772853438.275206075,214,199217,162271
1772853439.297469661,214,199231,162285
1772853440.325905923,214,199245,162299
1772853441.349099508,214,199260,162314
1772853442.374217829,214,199278,162332
1772853443.399923510,214,199292,162346
1772853444.430245460,214,199318,162372
1772853445.455887222,214,199425,162480
1772853446.478555504,214,199448,162502
1772853447.509624571,214,199477,162530
1772853448.535122125,214,199496,162550
1772853449.564848874,214,199527,162581
1772853450.597615058,214,199651,162784
1772853451.629570726,214,199913,163156
1772853452.664027070,214,199996,163202
1772853453.688968471,214,200058,163264
1772853454.729611374,214,200082,163288
