experiment,p50_us,p90_us,p95_us,p99_us,p999_us,vol_switches,time_squeeze,dropped,retransmits,migrations
E1,8.0,64.0,128.0,1024.0,4096.0,19943458,0,0,0,168018
E2,10.666666666666666,85.33333333333333,256.0,1024.0,4096.0,20881498,0,0,0,141401
E3,8.0,85.33333333333333,170.66666666666666,1024.0,4096.0,20208532,0,0,0,158800
E4,8.0,64.0,170.66666666666666,1024.0,4096.0,20394082,0,0,0,169037
E5,8.0,32.0,64.0,1024.0,4096.0,20626036,0,0,0,198164
E6,6.666666666666667,64.0,149.33333333333334,1024.0,4096.0,20970367,0,0,0,188467
E7,8.0,64.0,170.66666666666666,1024.0,4096.0,22376604,0,0,0,85939
E8,8.0,64.0,128.0,1024.0,4096.0,22325097,0,0,0,90502
E9,8.0,64.0,128.0,1024.0,4096.0,20887930,0,0,0,196836
E10,8.0,64.0,213.33333333333334,1024.0,4096.0,21172637,0,0,0,198291
E11,8.0,85.33333333333333,170.66666666666666,682.6666666666666,4096.0,20660109,0,0,0,184650
E12,6.666666666666667,42.666666666666664,106.66666666666667,1024.0,4096.0,20700391,0,0,0,203006
E13,8.0,64.0,170.66666666666666,1024.0,4096.0,20480073,0,0,0,189929
E14,8.0,85.33333333333333,170.66666666666666,1024.0,4096.0,22622584,0,0,0,86635
E15,64.0,341.3333333333333,512.0,2048.0,5461.333333333333,21767038,0,0,0,81430
E16,64.0,426.6666666666667,682.6666666666666,2048.0,4096.0,21699225,0,0,0,69432
